Country,Code,Year,Production (metric tons),Captures (metric tons)
Indonesia,IDN,1960,80639.000000,681061.000000
Indonesia,IDN,1961,86172.000000,828628.000000
Indonesia,IDN,1962,89263.000000,857937.000000
Indonesia,IDN,1963,88224.000000,850976.000000
Indonesia,IDN,1964,93148.000000,910852.000000
Indonesia,IDN,1965,93898.000000,980902.000000
Indonesia,IDN,1966,104339.000000,1137261.000000
Indonesia,IDN,1967,112101.000000,1086299.000000
Indonesia,IDN,1968,104175.000000,1075825.000000
Indonesia,IDN,1969,105690.000000,1129110.000000
Indonesia,IDN,1970,108706.000000,1148494.000000
Indonesia,IDN,1971,114121.000000,1159181.000000
Indonesia,IDN,1972,118952.000000,1177852.000000
Indonesia,IDN,1973,129830.000000,1164611.000000
Indonesia,IDN,1974,136244.000000,1225698.000000
Indonesia,IDN,1975,149633.000000,1226933.000000
Indonesia,IDN,1976,156744.000000,1329767.000000
Indonesia,IDN,1977,173780.000000,1414037.000000
Indonesia,IDN,1978,189266.000000,1478892.000000
Indonesia,IDN,1979,202202.000000,1567885.000000
Indonesia,IDN,1980,225296.000000,1652660.000000
Indonesia,IDN,1981,269959.000000,1677030.000000
Indonesia,IDN,1982,273541.000000,1753048.000000
Indonesia,IDN,1983,303941.000000,1944527.000000
Indonesia,IDN,1984,330764.000000,1982327.000000
Indonesia,IDN,1985,359626.000000,2093069.000000
Indonesia,IDN,1986,411552.000000,2196212.000000
Indonesia,IDN,1987,456727.000000,2306077.000000
Indonesia,IDN,1988,499597.000000,2462514.000000
Indonesia,IDN,1989,527897.000000,2576870.000000
Indonesia,IDN,1990,599824.000000,2668521.000000
Indonesia,IDN,1991,607507.000000,2816195.000000
Indonesia,IDN,1992,645368.000000,2983772.000000
Indonesia,IDN,1993,710414.000000,3212909.000000
Indonesia,IDN,1994,703522.000000,3453274.000000
Indonesia,IDN,1995,743092.000000,3645428.000000
Indonesia,IDN,1996,881098.000000,3767439.000000
Indonesia,IDN,1997,777547.000000,3918472.000000
Indonesia,IDN,1998,747007.000000,4024958.000000
Indonesia,IDN,1999,882989.000000,4018532.500000
Indonesia,IDN,2000,993727.000000,4168921.500000
Indonesia,IDN,2001,1076749.000000,4349342.000000
Indonesia,IDN,2002,1137151.000000,4420029.000000
Indonesia,IDN,2003,1228559.000000,4710291.000000
Indonesia,IDN,2004,1468612.000000,4754105.000000
Indonesia,IDN,2005,2124093.000000,4721419.000000
Indonesia,IDN,2006,2479247.000000,4818814.000000
Indonesia,IDN,2007,3137376.000000,5060086.000000
Indonesia,IDN,2008,3854944.000000,5019071.000000
Indonesia,IDN,2009,4712846.500000,5128007.000000
Indonesia,IDN,2010,6277924.500000,5402213.000000
Indonesia,IDN,2011,7937071.500000,5776454.000000
Indonesia,IDN,2012,9599765.000000,5883521.000000
Indonesia,IDN,2013,13301408.000000,6157745.000000
Indonesia,IDN,2014,14375287.000000,6550715.000000
Indonesia,IDN,2015,15649311.000000,6760874.000000
Indonesia,IDN,2016,16002319.000000,6595077.000000
Indonesia,IDN,2017,16118238.000000,6790477.500000
Indonesia,IDN,2018,14772104.000000,7270238.000000
