Country,Code,Year,Fish
Indonesia,IDN,1961,10.240000
Indonesia,IDN,1962,10.120000
Indonesia,IDN,1963,9.680000
Indonesia,IDN,1964,10.100000
Indonesia,IDN,1965,10.490000
Indonesia,IDN,1966,11.510000
Indonesia,IDN,1967,11.030000
Indonesia,IDN,1968,10.460000
Indonesia,IDN,1969,10.630000
Indonesia,IDN,1970,10.430000
Indonesia,IDN,1971,10.220000
Indonesia,IDN,1972,10.030000
Indonesia,IDN,1973,9.870000
Indonesia,IDN,1974,10.140000
Indonesia,IDN,1975,10.150000
Indonesia,IDN,1976,10.680000
Indonesia,IDN,1977,11.140000
Indonesia,IDN,1978,11.250000
Indonesia,IDN,1979,11.550000
Indonesia,IDN,1980,12.070000
Indonesia,IDN,1981,12.270000
Indonesia,IDN,1982,12.360000
Indonesia,IDN,1983,13.280000
Indonesia,IDN,1984,13.610000
Indonesia,IDN,1985,13.810000
Indonesia,IDN,1986,14.140000
Indonesia,IDN,1987,14.340000
Indonesia,IDN,1988,14.880000
Indonesia,IDN,1989,15.150000
Indonesia,IDN,1990,14.930000
Indonesia,IDN,1991,15.150000
Indonesia,IDN,1992,16.000000
Indonesia,IDN,1993,16.570000
Indonesia,IDN,1994,17.530000
Indonesia,IDN,1995,17.820000
Indonesia,IDN,1996,18.820000
Indonesia,IDN,1997,19.040000
Indonesia,IDN,1998,19.070000
Indonesia,IDN,1999,19.670000
Indonesia,IDN,2000,20.630000
Indonesia,IDN,2001,21.600000
Indonesia,IDN,2002,21.070000
Indonesia,IDN,2003,20.990000
Indonesia,IDN,2004,21.190000
Indonesia,IDN,2005,22.060000
Indonesia,IDN,2006,22.590000
Indonesia,IDN,2007,24.140000
Indonesia,IDN,2008,25.150000
Indonesia,IDN,2009,25.550000
Indonesia,IDN,2010,27.220000
Indonesia,IDN,2011,28.870000
Indonesia,IDN,2012,28.520000
Indonesia,IDN,2013,28.170000
Indonesia,IDN,2014,36.960000
Indonesia,IDN,2015,38.280000
Indonesia,IDN,2016,39.320000
Indonesia,IDN,2017,44.670000
